$id,$permissions,$createdAt,$updatedAt,title,summary,mission,audio_url
11,,2026-01-30T19:27:16.298+00:00,2026-02-08T22:27:30.577+00:00,Día 11: Apalancamiento Financiero,"Hoy aprendes que no siempre tienes que esperar a ahorrar años para invertir en un proyecto. El apalancamiento financiero consiste en usar el dinero de otros (bancos, inversionistas, socios) para acelerar tus metas.

Ejemplo:
Quieres poner un negocio que requiere $100,000. No los tienes, pero tienes una idea sólida y un plan bien estructurado. Puedes conseguir un crédito con un banco o buscar un socio que aporte capital a cambio de un porcentaje. Así empiezas hoy en lugar de esperar cinco años.

Eso sí, el apalancamiento se usa con inteligencia: asegúrate de que el proyecto genere lo suficiente para pagar el préstamo o satisfacer a tu socio y que no te meta en deudas sin sentido.",Investiga sobre créditos para emprendedores o inversión ángel en tu país. Identifica un proyecto o negocio propio donde podrías aplicar apalancamiento sin poner en riesgo tu estabilidad.,https://res.cloudinary.com/de0fbhdir/video/upload/v1770586390/Dia11_Finaria_kbzoqw.mp3
12,,2026-01-30T19:27:16.658+00:00,2026-02-08T22:27:42.837+00:00,Día 12: Conseguir vs. Producir Dinero,"Hoy distingues entre conseguir y producir dinero. Conseguirlo es cuando cambias tu tiempo por un sueldo fijo: trabajas X horas y recibes X dinero. Producirlo es cuando creas valor y lo vendes: encuentras algo que la gente necesita y tú lo ofreces.

Ejemplo:
Conseguir: trabajas 40 horas semanales y te pagan cada quincena.
Producir: compras artesanías a $50 y las vendes en $70; das clases de música o de idiomas; arreglas computadoras a domicilio.

No necesitas dejar tu empleo para producir. Puedes empezar con pequeñas ventas, asesorías o servicios. Así exploras tus talentos y generas nuevas entradas.","Identifica si hoy solo consigues dinero o también lo produces. Piensa en algo que podrías comprar barato y vender un poco más caro, o un servicio que podrías ofrecer sin dejar tu trabajo actual.",https://res.cloudinary.com/de0fbhdir/video/upload/v1770586593/Dia12_Finaria_mpvglj.mp3
13,,2026-01-30T19:27:17.049+00:00,2026-02-08T22:28:00.216+00:00,Día 13: Momentos Financieros,"Hoy te ubicas en tu propio mapa financiero. Reconoces cuatro momentos por los que la mayoría pasa:

1. Preparación: estás estudiando o adquiriendo habilidades. Hay pocos ingresos, pero estás invirtiendo en ti.
2. Crear Patrimonio: trabajas, generas dinero y construyes una base (ahorro, inversiones). Aquí está el riesgo de caer en la ""trampa de la rata"": gastar todo lo que ganas.
3. Patrimonio Productivo: tu dinero empieza a trabajar por ti. Tienes inversiones o negocios que generan ingresos sin que estés presente todo el tiempo.
4. Piloto Automático: alcanzas la libertad total. Tus ingresos pasivos superan tus gastos y puedes decidir qué hacer con tu tiempo.
No existe una edad exacta para cada etapa; todos avanzan a su ritmo. Lo importante es saber dónde estás y cómo pasar al siguiente nivel.","Anota en qué momento crees estar. ¿Qué te falta para dar el salto al siguiente? Por ejemplo, si estás en Crear Patrimonio, quizá necesitas invertir parte de tus ingresos en un negocio o fondo para empezar a construir patrimonio productivo.",https://res.cloudinary.com/de0fbhdir/video/upload/v1770587419/Dia13_Finaria_dojo9e.mp3
14,,2026-01-30T19:27:17.412+00:00,2026-02-08T22:28:12.476+00:00,Día 14: Contexto Financiero,"Hoy reflexionas sobre tu contexto personal. No es lo mismo manejar el dinero siendo soltero que teniendo hijos; no es igual empezar a ahorrar a los 20 que a los 50. Tu edad, estado civil y responsabilidades dictan tus decisiones.

Ejemplo:
Si eres soltero y no tienes dependientes, quizá puedes tomar más riesgos en inversiones. Si tienes hijos, quizá prefieras protegerte con seguros y ahorrar para su educación. Si tienes 55 años y no has empezado a ahorrar para el retiro, tal vez necesites ser más agresivo en tus aportaciones.","Analiza tu situación y piensa en una decisión financiera que debas tomar hoy mirando a largo plazo (10 años o más). Puede ser empezar un plan de retiro, contratar un seguro de vida o invertir en educación. Lo importante es pensar en tu ""yo"" del futuro.",https://res.cloudinary.com/de0fbhdir/video/upload/v1770587435/Dia14_Finaria_gvdzkg.mp3
15,,2026-01-30T19:27:17.747+00:00,2026-02-08T22:28:24.606+00:00,Día 15: Termostato Financiero,"Hoy haces un ejercicio de imaginación que te prepara para la abundancia. El termostato financiero es como tu capacidad mental para manejar dinero. Si hoy ganas $20,000 y tu mente solo está acostumbrada a gastar hasta $25,000, quizá no sepa qué hacer cuando ganes $50,000.

Ejercicio:
Cada día imagina que tu ingreso aumenta $10,000. Piensa cómo lo organizarías: cuánto va a tus seis cajas, cuánto a deudas, cuánto a tu diversión. Hazlo hasta que te cueste encontrar dónde poner más dinero. Esto expande tu mente para que, cuando llegue la abundancia, no la desperdicies.","Escribe cómo reorganizarías tu presupuesto si mañana ganaras $10,000 extra al mes. Sigue subiendo la cifra cada día hasta que te cueste decidir. Ese es tu tope mental; trabaja en expandirlo.",https://res.cloudinary.com/de0fbhdir/video/upload/v1770587746/Dia15_Finaria_fwhexd.mp3
16,,2026-01-30T19:27:18.143+00:00,2026-02-08T22:28:37.267+00:00,Día 16: Generar Dinero Nuevo,"Hoy pones en marcha cinco métodos para crear ingresos adicionales sin invertir grandes sumas.

1. Intermediación: recomiendas productos o servicios y ganas comisión. Por ejemplo, referir un cliente a un asesor de seguros o a una clínica veterinaria y recibir una recompensa.
2. Preventa: vendes algo antes de adquirirlo. Por ejemplo, anuncias un curso, la gente paga y con ese dinero rentas el espacio y pagas al instructor.
3. Consignación: colocas productos en tiendas y solo pagas al proveedor cuando se venden. Tú ganas la diferencia.
4. Intercambio: trueque de servicios. Si sabes de marketing y tu amigo tiene un gimnasio, tú le llevas clientes y él te da clases a cambio.
5. Máquina de Efectivo: monetizas tu talento. Si eres bueno cocinando, ofreces comidas a domicilio. Si eres diseñador, vendes plantillas o logos.",Escoge uno de estos métodos y comprométete a generar tu primer ingreso extra esta semana. No importa si es pequeño; lo importante es que experimentes cómo se siente producir tu propio dinero.,https://res.cloudinary.com/de0fbhdir/video/upload/v1770589498/Dia16_Finaria_at9zgd.mp3
17,,2026-01-30T19:27:18.514+00:00,2026-02-08T22:28:54.669+00:00,Día 17: Plan Financiero Personal,"Hoy tu visión se convierte en un plan. Definir metas con nombre, fecha y costo es la diferencia entre soñar y avanzar.
Divides tus metas así:
Corto Plazo (menos de 1 año): por ejemplo, comprar un nuevo celular, ir a un viaje local o ahorrar para un fondo de emergencia.
Mediano Plazo (1 a 5 años): como comprar un coche, remodelar tu casa o iniciar un negocio.
Largo Plazo (más de 5 años): como comprar tu casa, un fondo de retiro o pagar la universidad de tus hijos.

Ejemplo:
Meta a corto plazo: Ahorrar $12,000 en 6 meses para un viaje. Eso significa apartar $2,000 mensuales.","Escribe 3 metas de cada plazo, ponles precio y la fecha exacta en que las quieres lograr. Esto le da dirección a tu dinero; ya no solo ahorras ""para cualquier cosa"", sino para objetivos concretos.",https://res.cloudinary.com/de0fbhdir/video/upload/v1770589504/Dia17_Finaria_kooumq.mp3
18,,2026-01-30T19:27:18.856+00:00,2026-02-08T22:29:08.108+00:00,Día 18: Presupuesto de Libertad,"Hoy escoges un sueño que parece imposible (un viaje al extranjero, un coche deportivo, una maestría en otro país) y lo haces tangible. Investigas cuánto cuesta realmente: precio total, impuestos, trámites. Al ponerle números y verlo en papel, tu cerebro deja de verlo como fantasía y empieza a trazar rutas para alcanzarlo.

Ejemplo:
Sueñas con ir a Japón dos semanas. Descubres que el viaje cuesta alrededor de $60,000. Si empiezas a ahorrar $5,000 al mes, en un año llegas a la meta. Algo que parecía lejano se vuelve alcanzable.","Elige un sueño ""imposible"", investiga su costo total (incluyendo detalles como visas o extras) y anótalo como meta real a largo plazo. Verás cómo tu mente empieza a buscar caminos.",https://res.cloudinary.com/de0fbhdir/video/upload/v1770589511/Dia18_Finaria_g2dmlw.mp3
19,,2026-01-30T19:27:19.200+00:00,2026-02-08T22:29:34.057+00:00,Día 19: Mi Personalidad Financiera,"Hoy indagas en tu personalidad frente al dinero. Existen cuatro perfiles principales:
1. Analítico: controla cada peso, planifica y rara vez se arriesga.
2. Impulsivo: gasta por emoción; la satisfacción inmediata le gana al análisis.
3. Temeroso: ahorra por miedo a la escasez; le cuesta gastar incluso cuando puede.
4. Derrochador: gasta para impresionar o por estatus; suele comprar más de lo que necesita.

Conocer tu personalidad te permite compensar tus puntos débiles. Un analítico puede aprender a disfrutar sin culpa; un impulsivo necesita un sistema que lo frene.",Identifica tu personalidad predominante y la de las cinco personas más cercanas a ti. Así entenderás mejor por qué a veces tienen diferentes actitudes ante el dinero y cómo pueden complementarse.,https://res.cloudinary.com/de0fbhdir/video/upload/v1770589523/Dia19_Finaria_dygrbs.mp3
20,,2026-01-30T19:27:19.677+00:00,2026-02-08T22:31:38.619+00:00,Día 20: Arquetipos Financieros,"Hoy profundizas en cómo te relacionas emocionalmente con el dinero. Se manejan ocho arquetipos:
Alquimista: ve el dinero como energía para transformar el mundo.
Conector: usa el dinero para generar relaciones y crear comunidad.
Acumulador: ahorra en exceso; le cuesta gastar.
Disidente: rechaza las reglas tradicionales del dinero.
Gobernante: busca control y poder a través de su patrimonio.
Celebridad: disfruta ser visto, gasta para brillar.
Cuidador: prioriza el bienestar de otros antes que el propio.
Romántico: vive el presente y gasta en experiencias.

No eres solo uno; tienes un arquetipo dominante y otros que te influyen. Reconocerlos te ayuda a entender tus comportamientos y trabajar en equilibrarlos.","Identifica tu arquetipo dominante y otros dos que sientas que influyen en tu forma de gastar. En esta misma aplicación, en Perfil, contesta el Quiz de Arquetipo Financiero. Anota ejemplos de cómo se manifiestan en tu vida diaria.",https://res.cloudinary.com/de0fbhdir/video/upload/v1770589529/Dia20_Finaria_hpojq0.mp3
21,,2026-01-30T19:27:20.150+00:00,2026-02-08T22:30:15.667+00:00,Día 21: Respeto al Dinero,"Hoy practicas algo simbólico pero poderoso: respetar el dinero. Recuerdas que cada billete y moneda es tiempo y energía. Por eso los guardas con cuidado.

Ordena tu cartera: billetes de mayor a menor, sin arrugarlos. Si tienes una billetera rota o desordenada, cámbiala por una que te guste. No se trata de superstición, sino de mentalidad: si tratas bien a tu dinero, tu mente asocia abundancia con orden y respeto.

Ejemplo:
Una cartera llena de tickets, monedas sueltas y billetes arrugados transmite desorden. Una cartera limpia y ordenada te hace sentir próspero y en control.","Revisa tu cartera y ordénala. Si está vieja o rota, considera comprar una nueva. Haz de esto un ritual de respeto y claridad hacia tu flujo de dinero.",https://res.cloudinary.com/de0fbhdir/video/upload/v1770589535/Dia21_Finaria_wvdod8.mp3
22,,2026-01-30T19:27:20.530+00:00,2026-02-08T22:30:32.493+00:00,Día 22: Reprogramación Mental,"Hoy te das cuenta de que eres el promedio de las personas con las que convives. Tu entorno influye en tu mentalidad. Si tus amigos se la viven quejándose de la economía o gastando sin control, eso se contagia. Por el contrario, rodearte de personas con mentalidad de abundancia te motiva a crecer.

Aplicas dos acciones:

1. Filtras tus distracciones: dejas de seguir redes sociales que te incitan a gastar por impulso y sigues cuentas que te inspiren a mejorar tus finanzas.
2. Repetición y evidencias de éxito: te repites frases positivas y registras tus logros, por pequeños que sean. Eso crea nuevas conexiones en tu cerebro y refuerza que el cambio es posible.","Haz una limpieza en tus redes: silencia o deja de seguir cuentas que te generen ansiedad de consumo. Añade cuentas que hablen de educación financiera, emprendimiento o desarrollo personal. También, anota cada día un pequeño logro (ahorrar, no gastar impulsivamente, etc.) y celebra tus avances.",https://res.cloudinary.com/de0fbhdir/video/upload/v1770589546/Dia22_Finaria_uxke5a.mp3
23,,2026-01-30T19:27:20.907+00:00,2026-02-08T22:30:46.384+00:00,Día 23: Mantras y Propósito,"Hoy cierras el programa recordando tu ""para qué"". Tener un propósito claro evita el autosabotaje. ¿Para qué quieres mejorar tus finanzas? Quizá para dar seguridad a tus hijos, para viajar por el mundo, para apoyar una causa, para vivir sin estrés.

Definir tu propósito lo convierte en tu mantra: una frase corta que te recuerde por qué estás haciendo sacrificios y cambios. Cuando sientas ganas de rendirte o de hacer un gasto compulsivo, repites tu mantra y conectas con tu verdadero motivo.

Ejemplo:
""Quiero libertad para pasar tiempo con mi familia sin preocuparme por el dinero."" Cada vez que te tienten unas compras innecesarias, recuerdas: ""Familia > impulso"". Esa frase te centra.","Escribe tu ""para qué"" en una frase corta (tu mantra). Pégala en un lugar visible (cartera, espejo, fondo de pantalla) y repítela cuando sientas el impulso de gastar o la tentación de abandonar el hábito de registrar tus finanzas.",https://res.cloudinary.com/de0fbhdir/video/upload/v1770589556/Dia23_Finaria_xrurwp.mp3
